Target,Text,length,punct
ham,Huh but i cant go 2 ur house empty handed right?,48,1
ham,Hahaha..use your brain dear,27,2
ham,What Today-sunday..sunday is holiday..so no work..,50,7
ham,"It's cool, we can last a little while. Getting more any time soon?",66,4
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",78,4
ham,Have you started in skye,24,0
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,152,1
ham,Aiyah then i wait lor. Then u entertain me. Hee...,50,5
ham,"Call me da, i am waiting for your call.",39,2
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",145,14
ham,Reverse is cheating. That is not mathematics.,45,2
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,63,5
ham,* Will have two more cartons off u and is very pleased with shelves,67,1
ham,Good words.... But words may leave u in dismay many times.,58,5
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?",115,4
ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?,116,16
ham,Nope i'm not drivin... I neva develop da photos lei...,54,7
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,108,6
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",130,22
ham,So how's the weather over there?,32,2
ham,10 min later k...,17,3
ham,Dear good morning now only i am up,34,0
ham,Ok then no need to tell me anything i am going to sleep good night,66,0
ham, &lt;#&gt;  mins but i had to stop somewhere first.,51,6
ham,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,100,6
ham,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,114,12
ham,Hi! This is Roger from CL. How are you?,39,3
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",125,3
ham,Fine if thats the way u feel. Thats the way its gota b,56,1
ham,"I call you later, don't have network. If urgnt, sms me.",55,5
ham,I've been trying to reach him without success,45,1
ham,Tell me they're female :V how're you throwing in? We're deciding what all to get now,84,5
ham,"Ok., is any problem to u frm him? Wats matter?",46,4
ham,"Haha yeah I see that now, be there in a sec",43,1
ham,R we still meeting 4 dinner tonight?,36,1
ham,Hope you are having a great day.,32,1
ham,You still at the game?,22,1
ham,Oh did you charge camera,24,0
ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.,245,6
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",93,3
ham,Many more happy returns of the day. I wish you happy birthday.,62,2
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",89,6
ham,"Just looked it up and addie goes back Monday, sucks to be her",61,1
ham,Den wat will e schedule b lk on sun?,36,1
ham,Designation is software developer and may be she get chennai:),62,2
ham,Nice talking to you! please dont forget my pix :) i want to see all of you...,77,6
ham,My sister going to earn more than me da.,40,1
ham,Oooh I got plenty of those!,27,1
ham,What time. I‘m out until prob 3 or so,37,1
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",83,5
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay.",75,3
ham,Yeah imma come over cause jay wants to do some drugs,52,0
ham,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,110,4
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,118,3
ham,aathi..where are you dear..,27,4
ham,Love you aathi..love u lot..,28,4
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,153,4
ham,My drive can only be read. I need to write,42,1
ham,Oh thanks a lot..i already bought 2 eggs ..,43,4
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,119,3
ham,You also didnt get na hi hi hi hi hi,36,0
ham,Its sunny in california. The weather's just cool,48,2
ham,my ex-wife was not able to have kids. Do you want kids one day?,63,3
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,175,5
ham,I am late. I will be there at,29,1
ham,Cold. Dont be sad dear,22,1
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",201,3
ham,Easy ah?sen got selected means its good..,41,3
ham,Its a part of checking IQ,25,0
ham,I knew it... U slept v late yest? Wake up so late...,52,7
ham,I absolutely LOVE South Park! I only recently started watching the office.,74,2
ham,Play w computer? Aiyah i tok 2 u lor?,37,2
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,91,5
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit",93,8
ham,You call him and tell now infront of them. Call him now.,56,2
ham,I not free today i haf 2 pick my parents up tonite...,53,3
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack",73,1
ham,I am in your office na.,23,1
ham,"Haha just kidding, papa needs drugs",35,1
ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,156,7
ham,But if she.s drinkin i'm ok.,28,3
ham,These won't do. Have to move on to morphine,43,2
ham,Eh u send wrongly lar...,24,3
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,147,9
ham,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",332,17
ham,Watching tv now. I got new job :),33,3
ham,Mode men or have you left.,26,1
ham,Then u drive lor.,17,1
ham,Oh all have to come ah?,23,1
ham,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,103,6
ham,Sorry i din lock my keypad.,27,1
ham,"Nah man, my car is meant to be crammed full of people",53,1
ham,"Lets use it next week, princess :)",34,3
ham,I've not sent it. He can send me.,33,3
ham,"4 tacos + 1 rajas burrito, right?",33,3
ham,Got meh... When?,16,4
ham,"sure, but make sure he knows we ain't smokin yet",48,2
ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,126,6
ham,Wish u many many returns of the day.. Happy birthday vikky..,60,4
ham,"Sure, whenever you show the fuck up &gt;:(",42,5
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,124,1
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!,70,5
ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order",92,2
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,62,9
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,95,4
ham,No no. I will check all rooms befor activities,46,1
ham,I have a rather prominent bite mark on my right cheek,53,0
ham,How are you. Wish you a great semester,38,1
ham,You always make things bigger than they are,43,0
ham,Yup next stop.,14,1
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,87,5
ham,"Nah I don't think he goes to usf, he lives around here though",61,2
ham,I am sorry it hurt you.,23,1
ham,Are you up for the challenge? I know i am :),44,3
ham,&lt;#&gt;  am I think? Should say on syllabus,45,6
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,127,2
ham,I'm always looking for an excuse to be in the city.,51,2
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,72,2
ham,HELLO PEACH! MY CAKE TASTS LUSH!,32,2
ham,Change again... It's e one next to escalator...,47,7
ham,Pls speak with me. I wont ask anything other then you friendship.,65,2
ham,"Yes but i dont care! I need you bad, princess!",46,3
ham,Well that must be a pain to catch,33,0
ham,Shb b ok lor... Thanx...,24,6
ham,"Aldrine, rakhesh ex RTM here.pls call.urgent.",45,4
ham,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,95,4
ham,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,118,2
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,74,6
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,68,4
ham,Okay same with me. Well thanks for the clarification,52,1
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,104,2
ham,i am going to bed now prin,26,0
ham,Went to pay rent. So i had to go to the bank to authorise the payment.,70,2
ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.,82,4
ham,thanks for the temales it was wonderful. Thank. Have a great week.,66,3
ham,No current and food here. I am alone also,41,1
ham,K k :-):-) then watch some films.,33,7
ham,She ran off with a younger man. we will make pretty babies together :),70,3
ham,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,148,12
ham,Hi kindly give us back our documents which we submitted for loan from STAPATI,77,0
ham,I'm working technical support :)voice process.,46,4
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",152,4
ham,It only does simple arithmetic not percentages.,47,1
ham,I finished my lunch already. U wake up already?,47,2
ham,Got it. Seventeen pounds for seven hundred ml – hope ok.,56,2
ham,Pick you up bout 7.30ish? What time are  and that going?,56,3
ham,Otherwise had part time job na-tuition..,40,3
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,110,3
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,88,5
ham,I am going to sao mu today. Will be done only at 12 ,52,1
ham,Yo come over carlos will be here soon,37,0
ham,Mm have some kanji dont eat anything heavy ok,45,0
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,123,10
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,122,13
ham,Ok.,3,1
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,118,4
ham,I sent them. Do you like?,25,2
ham,I like to think there's always the possibility of being in a pub later.,71,2
ham,Good Morning my Dear........... Have a great &amp; successful day.,66,14
ham,Ok... Let u noe when i leave my house.,38,4
ham,Stupid.its not possible,23,1
ham,I love your ass! Do you enjoy doggy style? :),45,4
ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,139,3
ham,"K, want us to come by now?",26,2
ham,"Merry Christmas to you too babe, i love ya *kisses*",51,3
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",105,7
ham,Please dont say like that. Hi hi hi,35,1
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",289,19
ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",118,5
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,109,7
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",134,20
ham,Need a coffee run tomo?Can't believe it's that time of week already,67,3
ham,Dude how do you like the buff wind.,35,1
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",155,10
ham,Oh is it? Send me the address,29,1
ham,Just haven't decided where yet eh ?,35,2
ham,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,75,9
ham,Sindu got job in birla soft ..,30,2
ham,Ooooooh I forgot to tell u I can get on yoville on my phone,59,0
ham,Oh you got many responsibilities.,33,1
ham,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",121,4
ham,I'm at home n ready...,22,4
ham,Wait 2 min..stand at bus stop,29,2
ham,Saw Guys and Dolls last night with Patrick Swayze it was great,62,0
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,112,1
ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,104,4
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?,72,7
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,80,0
ham,So i asked how's anthony. Dad. And your bf,42,3
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,8
ham,Smith waste da.i wanna gayle.,29,2
ham,Or just do that 6times,22,0
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.,51,2
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?,57,3
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?,67,8
ham,If You mean the website. Yes.,29,2
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,139,4
ham,On the road so cant txt,23,0
ham,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ",120,9
ham,Holy living christ what is taking you so long,45,0
ham,R u meeting da ge at nite tmr?,30,1
ham,Hey you told your name to gautham ah?,37,1
ham,I cant pick the phone right now. Pls send a message,51,1
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),139,16
ham,Our Prashanthettan's mother passed away last night. pray for her and family.,76,3
ham,Bugis oso near wat... ,22,3
ham,Ya had just now.onion roast.,28,2
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",155,13
ham,Love it! I want to flood that pretty pussy with cum...,54,4
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,108,6
ham,How are you doing. How's the queen. Are you going for the royal wedding,71,3
ham,I sent lanre fakeye's Eckankar details to the mail box,54,1
ham,Do have a nice day today. I love you so dearly.,47,2
ham,K k pa Had your lunch aha.,26,1
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.",44,4
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time,72,0
ham,K k:) sms chat with me.,23,3
ham,Who's there say hi to our drugdealer,36,1
ham,"I shall book chez jules for half eight, if that's ok with you?",62,3
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,152,8
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,152,7
ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",142,5
ham,Yo dude guess who just got arrested the other day,49,0
ham,No message..no responce..what happend?,38,5
ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,232,4
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,165,5
ham,if you text on your way to cup stop that should work. And that should be BUS,76,1
ham,No need to say anything to me. I know i am an outsider,54,1
ham,Good night my dear.. Sleepwell&amp;Take care,44,4
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",147,4
ham,"Haha awesome, omw back now then",31,1
ham,Water logging in desert. Geoenvironmental implications.,55,2
ham,There the size of elephant tablets & u shove um up ur ass!!,59,3
ham,Great comedy..cant stop laughing da:),37,4
ham,What not under standing.,24,1
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow,65,3
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,144,5
ham,First answer my question.,25,1
ham,Are you angry with me. What happen dear,39,1
ham,Bring home some Wendy =D,24,1
ham,I just saw ron burgundy captaining a party boat so yeah,55,0
ham,:-) yeah! Lol. Luckily i didn't have a starring role like you!,62,7
ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,153,12
ham,"I didnt get ur full msg..sometext is missing, send it again",59,3
ham,"Geeeee ... Your internet is really bad today, eh ?",50,5
ham,Good night my dear.. Sleepwell&amp;Take care,44,4
ham,Idea will soon get converted to live:),38,2
ham,Am okay. Will soon be over. All the best,40,2
ham,See the forwarding message for proof,36,0
ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,124,8
ham,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,155,8
ham,Send me yetty's number pls.,27,2
ham,Was playng 9 doors game and gt racing on phone lol,50,0
ham,Unni thank you dear for the recharge..Rakhesh,45,2
ham,Hey gals...U all wanna meet 4 dinner at nìte? ,46,4
ham,Might ax well im there.,23,1
ham,Dai what this da.. Can i send my resume to this id.,51,3
ham,There's no point hangin on to mr not right if he's not makin u happy,68,2
ham,Ok lor...,9,3
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,6
ham,"not that I know of, most people up here are still out of town",61,1
ham,Where is it. Is there any opening for mca.,42,2
ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",168,5
ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",151,3
ham,I wont. So wat's wit the guys,29,2
ham,K.:)you are the only girl waiting in reception ah?,50,4
ham,"Probably gonna be here for a while, see you later tonight &lt;)",63,4
ham,Yeah I don't see why not,24,1
ham,The bus leaves at  &lt;#&gt; ,29,5
ham,Hmmm:)how many players selected?,32,3
ham,How is it possible to teach you. And where.,43,2
ham,"Haha... Sounds crazy, dunno can tahan anot...",45,7
ham,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,910,22
ham,"Awesome, that gonna be soon or later tonight?",45,2
ham,"Yes..but they said its IT.,",27,4
ham,Tell me pa. How is pain de.,27,2
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",99,4
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",101,6
ham,I'm serious. You are in the money base,38,2
ham,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",72,3
ham,I only haf msn. It's yijue@hotmail.com,38,4
ham,But i'm surprised she still can guess right lor...,50,4
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,87,0
ham,Great! So what attracts you to the brothas?,43,2
ham,Is that seriously how you spell his name?,41,1
ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.,244,11
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",125,9
ham,Too late. I said i have the website. I didn't i have or dont have the slippers,78,3
ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,94,0
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,143,5
ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",79,9
ham,U ned to convince him tht its not possible witot hurting his feeling its the main,81,0
ham,Oh. U must have taken your REAL Valentine out shopping first.,61,2
ham,Hope you are feeling great. Pls fill me in. Abiola,50,2
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,87,0
ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,251,4
ham,He dint tell anything. He is angry on me that why you told to abi.,66,2
ham,"Oh, then your phone phoned me but it disconnected",49,1
ham,I'm working technical support :)voice process.networking field.,63,5
ham,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",96,10
ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,110,13
ham,Cab is available.they pick up and drop at door steps.,53,2
ham,Ard 4 lor...,12,3
ham,LOL what happens in Vegas stays in vegas,40,0
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,71,11
ham,What happen dear tell me,24,0
ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),90,3
ham,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,120,12
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,123,3
ham,Am not interested to do like that.,34,1
ham,Got smaller capacity one? Quite ex...,37,4
ham,Leave it de:-). Start Prepare for next:-)..,43,9
ham,(That said can you text him one more time?),43,3
ham,Should I tell my friend not to come round til like  &lt;#&gt; ish?,66,6
ham,I want snow. It's just freezing and windy.,42,3
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",155,11
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",126,7
ham,"I just got home babe, are you still awake ?",43,2
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,112,2
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,82,6
ham,I could ask carlos if we could get more if anybody else can chip in,67,0
ham,COME BACK TO TAMPA FFFFUUUUUUU,30,0
ham,"Sorry, I'll call later",22,2
ham,"Haven't seen my facebook, huh? Lol!",35,4
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,183,21
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,2
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,151,6
ham,No message..no responce..what happend?,38,5
ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow",142,19
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?",60,3
ham,Hmmm.still we dont have opener?,31,2
ham,Nokia phone is lovly..,22,2
ham,Webpage s not available!,24,1
ham,I'm home.,9,2
ham,Pls she needs to dat slowly or she will vomit more.,51,1
ham,"Sorry, I'll call later",22,2
ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,87,1
ham,You should get more chicken broth if you want ramen unless there's some I don't know about,90,2
ham,Gd luck 4 ur exams :-),22,3
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,129,11
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,174,16
ham,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,329,9
